what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303486556256
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303486556290
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303486578255
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303486588805
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1303486644047
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1303486646860
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303486649506
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1303486667303
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1303486673725
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1303486679425
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1303486683016
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303486686107
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303486701759
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303486744335
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303486746111
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303486764731
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303486785148
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303486816338
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303486838872
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303486841336
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488504043
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303488506098
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488507924
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488515254
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303488519785
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303488525172
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488530432
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488549867
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488552119
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488613142
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303488634467
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303488644619
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488644964
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488646038
started,bundle,org.eclipse.wb.os,0.9.0.r36x201102111430,"org.eclipse.wb.os",1303488653489
started,bundle,org.eclipse.wb.os.win32,0.9.0.r36x201102111430,"org.eclipse.wb.os.win32",1303488653539
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488662274
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488663640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488669544
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488702016
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1303488717039
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303488725384
error,log,,,"The site.xml file downloaded from the update site does not contain any <feature> elements with an id of 'com.google.appengine.eclipse.sdkbundle.e35.feature.1.4.2'. Unable to determine if there are updates available.",1303488726771
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488726909
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303488732847
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303488734018
