what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"17.1-b03",1303818864685
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1303818864935
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1303818865044
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1303818865200
started,bundle,org.eclipse.php.server.core,2.1.1.v20090707-1108,"org.eclipse.php.server.core",1303818865340
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201102111430,"org.eclipse.wb.core.lib",1303818865543
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1303818865715
started,bundle,org.eclipse.wb.core,0.9.0.r36x201102111430,"org.eclipse.wb.core",1303818865839
started,bundle,com.google.gdt.eclipse.designer,2.2.0.r36x201102111505,"com.google.gdt.eclipse.designer",1303818867493
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.2.0.r36x201102111505,"com.google.gdt.eclipse.designer.UiBinder",1303818867493
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201102111443,"org.eclipse.wb.core.xml",1303818867711
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1303818875901
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1303818875979
started,bundle,com.google.gdt.eclipse.maven,2.2.0.v201102111810,"com.google.gdt.eclipse.maven",1303818876369
started,bundle,com.google.gdt.eclipse.suite,2.2.0.v201102111810,"com.google.gdt.eclipse.suite",1303818876385
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1303818877165
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1303818877446
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303818883282
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303818888021
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303818888973
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303818935717
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819001660
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819052522
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303819056377
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1303819059157
started,bundle,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms",1303819059514
started,bundle,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.adt",1303819059846
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1303819059896
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1303819059944
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819067694
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1303819072602
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819073494
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819079132
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819079225
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819079238
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819083880
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819085053
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819086198
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819087053
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819087903
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303819088490
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819098725
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303819137660
started,bundle,org.eclipse.wb.os,0.9.0.r36x201102111430,"org.eclipse.wb.os",1303819138587
started,bundle,org.eclipse.wb.os.win32,0.9.0.r36x201102111430,"org.eclipse.wb.os.win32",1303819138593
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303819139780
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303819142752
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1303819142843
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1303819142868
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303819143795
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1303819148379
started,bundle,com.google.gdt.eclipse.platform,2.2.0.v201102111810,"com.google.gdt.eclipse.platform",1303819151305
error,log,,,"Cannot get version of GWT SDK ""GWT"", ensure it is configured properly",1303819151384
error,log,,,"Cannot get version of GWT SDK ""GWT"", ensure it is configured properly",1303819151387
error,log,,,"Cannot get version of GWT SDK ""GWT"", ensure it is configured properly",1303819151604
