what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912601490
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912608257
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912611487
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912626033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912627251
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303912638452
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1303912639089
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1303912646399
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912660329
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912664083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912673562
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912676297
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912688866
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1303912689830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303912695858
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303912696859
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1303912697909
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303912700386
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912701372
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912707700
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303912713023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303912718189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303912721190
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912721747
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912728979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912732019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912749402
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912765507
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1303912769248
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1303912771124
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1303912771167
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912781353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912791148
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1303912794132
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303912795797
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303912795885
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303912809842
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303912814137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912817027
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912831605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912851340
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303912852564
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303912855741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912873938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912887949
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303912889418
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912896347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912900895
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1303912901837
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303912906608
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303912909670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912920159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912921357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912929844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912931486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912932895
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912949561
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303912952188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912960011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912966067
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303912967957
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303912982749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913021634
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1303913022616
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1303913024448
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1303913028619
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303913046981
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913047553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913116754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913122900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913148666
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913153440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913189492
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303913199722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303913206418
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303913218968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913221224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913232017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913244947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913259631
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303913260854
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1303913291259
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303913294781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913295999
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303913304960
