what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564017111
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564020080
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564020080
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303564026853
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564030267
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564072826
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564075786
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564106790
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564118322
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303564232583
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303564255780
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303564260726
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564272851
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564274130
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564276876
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564280945
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564282578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564306901
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564311624
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303564332195
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564341467
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564344997
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564461161
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564471337
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564486093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564494154
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564495139
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1303564502756
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564506042
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564509529
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303564520767
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1303564529611
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564529819
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564529851
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564539641
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303564540926
