what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414703489
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414750327
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1301414754996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414756066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414756265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301414757607
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301414770912
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301414782867
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414786312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414786541
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301414786657
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301414800938
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414811893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414821784
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1301414825543
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414826324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414826464
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1301414827691
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414828245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414828426
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301414829730
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414831686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414835650
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301414842828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301414850198
