what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303572806134
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303572811620
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303572835662
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303572874071
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303572875818
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303572875819
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303572882013
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303572904231
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1303572910046
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303572912613
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303572963561
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303572965376
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303572965489
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573014906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1303573034922
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573057415
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573081094
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573081273
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573182632
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1303573182664
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303573182857
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303573182883
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573201968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573205789
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573256845
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1303573259140
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303573260167
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303573260167
