what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412367802
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1301412372028
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412372829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1301412373806
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301412374831
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301412379096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412393608
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412395437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412450934
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412458794
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301412458853
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412459885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412468471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412485914
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412492158
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412496315
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412497620
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301412506916
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412507228
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1301412521668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412526657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412526848
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1301412532750
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1301412533420
error,log,,,"Internal Error",1301412554858
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1301412567793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1301412572916
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1301412573042
error,log,,,"Designer [0.9.0.r36x201102111430.201103292329]: java.lang.NullPointerException",1301412578735
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412583187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412589712
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412592619
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412608734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301412622422
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301412627920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412633358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412634328
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412635226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412637236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1301412649431
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1301412649474
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301412651224
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1301412659337
